| epoch   1 |    10/ 1389 batches | lr 0.00 | ms/batch 30.03 | loss 11.45 | ppl 93609.87
| epoch   1 |   640/ 1389 batches | lr 0.29 | ms/batch 19.74 | loss  6.39 | ppl   593.81
| epoch   1 |   650/ 1389 batches | lr 0.30 | ms/batch 19.82 | loss  6.38 | ppl   587.04
| epoch   1 |   660/ 1389 batches | lr 0.30 | ms/batch 19.23 | loss  6.37 | ppl   584.50
| epoch   1 |   670/ 1389 batches | lr 0.30 | ms/batch 19.41 | loss  6.36 | ppl   579.14
| epoch   1 |   680/ 1389 batches | lr 0.31 | ms/batch 19.51 | loss  6.33 | ppl   560.88
| epoch   1 |   690/ 1389 batches | lr 0.31 | ms/batch 19.04 | loss  6.18 | ppl   483.86
| epoch   1 |   700/ 1389 batches | lr 0.32 | ms/batch 19.60 | loss  6.13 | ppl   461.57
| epoch   1 |   710/ 1389 batches | lr 0.32 | ms/batch 19.31 | loss  6.25 | ppl   520.24
| epoch   1 |   720/ 1389 batches | lr 0.33 | ms/batch 19.52 | loss  6.27 | ppl   529.08
| epoch   1 |   730/ 1389 batches | lr 0.33 | ms/batch 19.44 | loss  6.28 | ppl   533.71
| epoch   1 |   740/ 1389 batches | lr 0.34 | ms/batch 19.44 | loss  6.30 | ppl   543.87
| epoch   1 |   750/ 1389 batches | lr 0.34 | ms/batch 19.71 | loss  6.23 | ppl   506.17
| epoch   1 |   760/ 1389 batches | lr 0.35 | ms/batch 19.94 | loss  6.30 | ppl   547.15
| epoch   1 |   770/ 1389 batches | lr 0.35 | ms/batch 18.97 | loss  6.33 | ppl   558.88
| epoch   1 |   780/ 1389 batches | lr 0.35 | ms/batch 19.58 | loss  6.20 | ppl   493.97
| epoch   1 |   790/ 1389 batches | lr 0.36 | ms/batch 19.28 | loss  6.17 | ppl   475.93
| epoch   1 |   800/ 1389 batches | lr 0.36 | ms/batch 19.70 | loss  6.26 | ppl   521.59
| epoch   1 |   810/ 1389 batches | lr 0.37 | ms/batch 19.47 | loss  6.30 | ppl   546.86
| epoch   1 |   820/ 1389 batches | lr 0.37 | ms/batch 19.13 | loss  6.23 | ppl   510.05
| epoch   1 |   830/ 1389 batches | lr 0.38 | ms/batch 19.81 | loss  6.09 | ppl   440.10
| epoch   1 |   840/ 1389 batches | lr 0.38 | ms/batch 19.18 | loss  6.08 | ppl   436.68
| epoch   1 |   850/ 1389 batches | lr 0.39 | ms/batch 19.49 | loss  6.08 | ppl   434.92
| epoch   1 |   860/ 1389 batches | lr 0.39 | ms/batch 19.62 | loss  6.12 | ppl   453.32
| epoch   1 |   870/ 1389 batches | lr 0.40 | ms/batch 19.18 | loss  6.25 | ppl   516.15
| epoch   1 |   880/ 1389 batches | lr 0.40 | ms/batch 19.87 | loss  6.05 | ppl   423.21
| epoch   1 |   890/ 1389 batches | lr 0.40 | ms/batch 19.77 | loss  6.08 | ppl   435.06
| epoch   1 |   900/ 1389 batches | lr 0.41 | ms/batch 19.52 | loss  6.17 | ppl   477.60
| epoch   1 |   910/ 1389 batches | lr 0.41 | ms/batch 19.81 | loss  6.18 | ppl   483.11
| epoch   1 |   920/ 1389 batches | lr 0.42 | ms/batch 19.53 | loss  6.08 | ppl   438.98
| epoch   1 |   930/ 1389 batches | lr 0.42 | ms/batch 19.22 | loss  6.26 | ppl   521.08
| epoch   1 |   940/ 1389 batches | lr 0.43 | ms/batch 19.59 | loss  6.18 | ppl   481.52
| epoch   1 |   950/ 1389 batches | lr 0.43 | ms/batch 19.70 | loss  6.06 | ppl   429.41
| epoch   1 |   960/ 1389 batches | lr 0.44 | ms/batch 19.90 | loss  5.97 | ppl   393.04
| epoch   1 |   970/ 1389 batches | lr 0.44 | ms/batch 19.89 | loss  5.99 | ppl   400.78
| epoch   1 |   980/ 1389 batches | lr 0.45 | ms/batch 19.98 | loss  6.01 | ppl   408.19
| epoch   1 |   990/ 1389 batches | lr 0.45 | ms/batch 19.61 | loss  6.09 | ppl   439.29
| epoch   1 |  1000/ 1389 batches | lr 0.45 | ms/batch 19.33 | loss  6.06 | ppl   428.54
| epoch   1 |  1010/ 1389 batches | lr 0.46 | ms/batch 19.68 | loss  6.04 | ppl   419.53
| epoch   1 |  1020/ 1389 batches | lr 0.46 | ms/batch 19.44 | loss  5.96 | ppl   387.56
| epoch   1 |  1030/ 1389 batches | lr 0.47 | ms/batch 19.45 | loss  5.94 | ppl   381.49
| epoch   1 |  1040/ 1389 batches | lr 0.47 | ms/batch 19.91 | loss  5.91 | ppl   369.68
| epoch   1 |  1050/ 1389 batches | lr 0.48 | ms/batch 20.37 | loss  5.85 | ppl   347.87
| epoch   1 |  1060/ 1389 batches | lr 0.48 | ms/batch 19.41 | loss  5.83 | ppl   341.30
| epoch   1 |  1070/ 1389 batches | lr 0.49 | ms/batch 19.29 | loss  5.94 | ppl   380.17
| epoch   1 |  1080/ 1389 batches | lr 0.49 | ms/batch 19.51 | loss  5.93 | ppl   374.49
| epoch   1 |  1090/ 1389 batches | lr 0.50 | ms/batch 19.37 | loss  5.93 | ppl   375.21
| epoch   1 |  1100/ 1389 batches | lr 0.50 | ms/batch 19.84 | loss  5.90 | ppl   364.94
| epoch   1 |  1110/ 1389 batches | lr 0.50 | ms/batch 19.96 | loss  6.09 | ppl   439.79
| epoch   1 |  1120/ 1389 batches | lr 0.51 | ms/batch 19.23 | loss  5.94 | ppl   380.42
| epoch   1 |  1130/ 1389 batches | lr 0.51 | ms/batch 19.83 | loss  6.00 | ppl   405.17
| epoch   1 |  1140/ 1389 batches | lr 0.52 | ms/batch 20.05 | loss  5.96 | ppl   387.69
| epoch   1 |  1150/ 1389 batches | lr 0.52 | ms/batch 19.92 | loss  5.99 | ppl   400.49
| epoch   1 |  1160/ 1389 batches | lr 0.53 | ms/batch 19.17 | loss  5.82 | ppl   336.40
| epoch   1 |  1170/ 1389 batches | lr 0.53 | ms/batch 19.67 | loss  5.88 | ppl   357.38
| epoch   1 |  1180/ 1389 batches | lr 0.54 | ms/batch 19.28 | loss  5.98 | ppl   395.70
| epoch   1 |  1190/ 1389 batches | lr 0.54 | ms/batch 19.62 | loss  5.81 | ppl   333.55
| epoch   1 |  1200/ 1389 batches | lr 0.55 | ms/batch 19.81 | loss  6.02 | ppl   411.11
| epoch   1 |  1210/ 1389 batches | lr 0.55 | ms/batch 19.93 | loss  6.02 | ppl   413.56
| epoch   1 |  1220/ 1389 batches | lr 0.55 | ms/batch 19.58 | loss  5.88 | ppl   356.34
| epoch   1 |  1230/ 1389 batches | lr 0.56 | ms/batch 19.27 | loss  5.82 | ppl   335.36
| epoch   1 |  1240/ 1389 batches | lr 0.56 | ms/batch 19.33 | loss  5.82 | ppl   337.31
| epoch   1 |  1250/ 1389 batches | lr 0.57 | ms/batch 19.29 | loss  5.91 | ppl   367.80
| epoch   1 |  1260/ 1389 batches | lr 0.57 | ms/batch 20.38 | loss  5.99 | ppl   399.41
| epoch   1 |  1270/ 1389 batches | lr 0.58 | ms/batch 20.71 | loss  5.91 | ppl   367.51
| epoch   1 |  1280/ 1389 batches | lr 0.58 | ms/batch 20.00 | loss  5.79 | ppl   328.14
| epoch   1 |  1290/ 1389 batches | lr 0.59 | ms/batch 19.65 | loss  5.80 | ppl   330.22
| epoch   1 |  1300/ 1389 batches | lr 0.59 | ms/batch 19.24 | loss  5.81 | ppl   334.36
| epoch   1 |  1310/ 1389 batches | lr 0.60 | ms/batch 19.98 | loss  5.73 | ppl   308.27
| epoch   1 |  1320/ 1389 batches | lr 0.60 | ms/batch 19.90 | loss  5.88 | ppl   357.04
| epoch   1 |  1330/ 1389 batches | lr 0.60 | ms/batch 19.26 | loss  5.85 | ppl   346.66
| epoch   1 |  1340/ 1389 batches | lr 0.61 | ms/batch 19.52 | loss  5.88 | ppl   356.20
| epoch   1 |  1350/ 1389 batches | lr 0.61 | ms/batch 19.72 | loss  5.82 | ppl   336.39
| epoch   1 |  1360/ 1389 batches | lr 0.62 | ms/batch 19.46 | loss  5.84 | ppl   344.27
| epoch   1 |  1370/ 1389 batches | lr 0.62 | ms/batch 19.58 | loss  5.78 | ppl   322.31
| epoch   1 |  1380/ 1389 batches | lr 0.63 | ms/batch 19.43 | loss  5.78 | ppl   323.91
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 28.70s | valid loss  6.10 | valid ppl   444.48
-----------------------------------------------------------------------------------------
| epoch   2 |    10/ 1389 batches | lr 0.64 | ms/batch 21.20 | loss  6.38 | ppl   590.85
| epoch   2 |    20/ 1389 batches | lr 0.64 | ms/batch 19.81 | loss  5.83 | ppl   338.74
| epoch   2 |    30/ 1389 batches | lr 0.65 | ms/batch 19.17 | loss  5.72 | ppl   304.26
| epoch   2 |    40/ 1389 batches | lr 0.65 | ms/batch 19.86 | loss  5.84 | ppl   342.23
| epoch   2 |    50/ 1389 batches | lr 0.65 | ms/batch 20.17 | loss  5.87 | ppl   352.71
| epoch   2 |    60/ 1389 batches | lr 0.66 | ms/batch 19.88 | loss  5.79 | ppl   326.78
| epoch   2 |    70/ 1389 batches | lr 0.66 | ms/batch 19.33 | loss  5.73 | ppl   307.49
| epoch   2 |    80/ 1389 batches | lr 0.67 | ms/batch 19.80 | loss  5.85 | ppl   346.11
| epoch   2 |    90/ 1389 batches | lr 0.67 | ms/batch 19.68 | loss  5.85 | ppl   346.51
| epoch   2 |   100/ 1389 batches | lr 0.68 | ms/batch 19.40 | loss  5.88 | ppl   356.13
| epoch   2 |   110/ 1389 batches | lr 0.68 | ms/batch 20.01 | loss  5.77 | ppl   321.78
| epoch   2 |   120/ 1389 batches | lr 0.69 | ms/batch 19.80 | loss  5.72 | ppl   305.99
| epoch   2 |   130/ 1389 batches | lr 0.69 | ms/batch 19.51 | loss  5.76 | ppl   317.47
| epoch   2 |   140/ 1389 batches | lr 0.70 | ms/batch 19.31 | loss  5.83 | ppl   339.16
| epoch   2 |   150/ 1389 batches | lr 0.70 | ms/batch 19.94 | loss  5.82 | ppl   337.91
| epoch   2 |   160/ 1389 batches | lr 0.70 | ms/batch 19.73 | loss  5.78 | ppl   323.88
| epoch   2 |   170/ 1389 batches | lr 0.71 | ms/batch 19.31 | loss  5.77 | ppl   319.10
| epoch   2 |   180/ 1389 batches | lr 0.71 | ms/batch 19.54 | loss  5.86 | ppl   352.42
| epoch   2 |   190/ 1389 batches | lr 0.72 | ms/batch 19.22 | loss  5.83 | ppl   340.58
| epoch   2 |   200/ 1389 batches | lr 0.72 | ms/batch 19.70 | loss  5.66 | ppl   286.68
| epoch   2 |   210/ 1389 batches | lr 0.73 | ms/batch 20.06 | loss  5.67 | ppl   291.32
| epoch   2 |   220/ 1389 batches | lr 0.73 | ms/batch 19.70 | loss  5.76 | ppl   317.17
| epoch   2 |   230/ 1389 batches | lr 0.74 | ms/batch 19.26 | loss  5.73 | ppl   308.85
| epoch   2 |   240/ 1389 batches | lr 0.74 | ms/batch 19.48 | loss  5.80 | ppl   331.91
| epoch   2 |   250/ 1389 batches | lr 0.75 | ms/batch 19.77 | loss  5.62 | ppl   274.65
| epoch   2 |   260/ 1389 batches | lr 0.75 | ms/batch 19.51 | loss  5.73 | ppl   307.33
| epoch   2 |   270/ 1389 batches | lr 0.75 | ms/batch 19.61 | loss  5.73 | ppl   307.31
| epoch   2 |   280/ 1389 batches | lr 0.76 | ms/batch 20.29 | loss  5.66 | ppl   287.56
| epoch   2 |   290/ 1389 batches | lr 0.76 | ms/batch 19.84 | loss  5.72 | ppl   305.31
| epoch   2 |   300/ 1389 batches | lr 0.77 | ms/batch 19.34 | loss  5.82 | ppl   337.25
| epoch   2 |   310/ 1389 batches | lr 0.77 | ms/batch 19.69 | loss  5.62 | ppl   276.06
| epoch   2 |   320/ 1389 batches | lr 0.78 | ms/batch 20.21 | loss  5.75 | ppl   312.84
| epoch   2 |   330/ 1389 batches | lr 0.78 | ms/batch 19.61 | loss  5.72 | ppl   306.33
| epoch   2 |   340/ 1389 batches | lr 0.79 | ms/batch 19.08 | loss  5.76 | ppl   317.64
| epoch   2 |   350/ 1389 batches | lr 0.79 | ms/batch 20.14 | loss  5.69 | ppl   296.46
| epoch   2 |   360/ 1389 batches | lr 0.80 | ms/batch 19.59 | loss  5.78 | ppl   325.02
| epoch   2 |   370/ 1389 batches | lr 0.80 | ms/batch 19.57 | loss  5.80 | ppl   330.61
| epoch   2 |   380/ 1389 batches | lr 0.80 | ms/batch 19.41 | loss  5.81 | ppl   334.19
| epoch   2 |   390/ 1389 batches | lr 0.81 | ms/batch 19.74 | loss  5.87 | ppl   355.56
| epoch   2 |   400/ 1389 batches | lr 0.81 | ms/batch 19.55 | loss  5.68 | ppl   293.61
| epoch   2 |   410/ 1389 batches | lr 0.82 | ms/batch 19.85 | loss  5.72 | ppl   306.00
| epoch   2 |   420/ 1389 batches | lr 0.82 | ms/batch 19.69 | loss  5.71 | ppl   302.32
| epoch   2 |   430/ 1389 batches | lr 0.83 | ms/batch 19.95 | loss  5.57 | ppl   263.33
| epoch   2 |   440/ 1389 batches | lr 0.83 | ms/batch 19.17 | loss  5.66 | ppl   286.02
| epoch   2 |   450/ 1389 batches | lr 0.84 | ms/batch 19.61 | loss  5.71 | ppl   301.35
| epoch   2 |   460/ 1389 batches | lr 0.84 | ms/batch 20.08 | loss  5.70 | ppl   299.67
| epoch   2 |   470/ 1389 batches | lr 0.85 | ms/batch 19.89 | loss  5.75 | ppl   314.60
| epoch   2 |   480/ 1389 batches | lr 0.85 | ms/batch 19.24 | loss  5.72 | ppl   305.61
| epoch   2 |   490/ 1389 batches | lr 0.85 | ms/batch 19.61 | loss  5.62 | ppl   275.88
| epoch   2 |   500/ 1389 batches | lr 0.86 | ms/batch 19.50 | loss  5.65 | ppl   283.16
| epoch   2 |   510/ 1389 batches | lr 0.86 | ms/batch 19.23 | loss  5.54 | ppl   254.71
| epoch   2 |   520/ 1389 batches | lr 0.87 | ms/batch 19.97 | loss  5.64 | ppl   280.65
| epoch   2 |   530/ 1389 batches | lr 0.87 | ms/batch 19.91 | loss  5.66 | ppl   287.64
| epoch   2 |   540/ 1389 batches | lr 0.88 | ms/batch 19.33 | loss  5.67 | ppl   288.99
| epoch   2 |   550/ 1389 batches | lr 0.88 | ms/batch 19.70 | loss  5.59 | ppl   269.07
| epoch   2 |   560/ 1389 batches | lr 0.89 | ms/batch 20.49 | loss  5.66 | ppl   286.34
| epoch   2 |   570/ 1389 batches | lr 0.89 | ms/batch 19.89 | loss  5.63 | ppl   277.37
| epoch   2 |   580/ 1389 batches | lr 0.90 | ms/batch 19.74 | loss  5.73 | ppl   308.95
| epoch   2 |   590/ 1389 batches | lr 0.90 | ms/batch 19.95 | loss  5.68 | ppl   291.61
| epoch   2 |   600/ 1389 batches | lr 0.90 | ms/batch 19.57 | loss  5.62 | ppl   276.61
| epoch   2 |   610/ 1389 batches | lr 0.91 | ms/batch 20.21 | loss  5.56 | ppl   260.37
| epoch   2 |   620/ 1389 batches | lr 0.91 | ms/batch 20.09 | loss  5.59 | ppl   266.50
| epoch   2 |   630/ 1389 batches | lr 0.92 | ms/batch 20.59 | loss  5.57 | ppl   262.90
| epoch   2 |   640/ 1389 batches | lr 0.92 | ms/batch 19.92 | loss  5.61 | ppl   274.45
| epoch   2 |   650/ 1389 batches | lr 0.93 | ms/batch 19.68 | loss  5.61 | ppl   272.38
| epoch   2 |   660/ 1389 batches | lr 0.93 | ms/batch 19.26 | loss  5.59 | ppl   267.72
| epoch   2 |   670/ 1389 batches | lr 0.94 | ms/batch 19.91 | loss  5.63 | ppl   279.88
| epoch   2 |   680/ 1389 batches | lr 0.94 | ms/batch 19.94 | loss  5.55 | ppl   257.91
| epoch   2 |   690/ 1389 batches | lr 0.95 | ms/batch 19.61 | loss  5.44 | ppl   230.62
| epoch   2 |   700/ 1389 batches | lr 0.95 | ms/batch 19.63 | loss  5.46 | ppl   235.29
| epoch   2 |   710/ 1389 batches | lr 0.95 | ms/batch 19.74 | loss  5.52 | ppl   249.25
| epoch   2 |   720/ 1389 batches | lr 0.96 | ms/batch 20.25 | loss  5.53 | ppl   251.63
| epoch   2 |   730/ 1389 batches | lr 0.96 | ms/batch 19.82 | loss  5.52 | ppl   249.25
| epoch   2 |   740/ 1389 batches | lr 0.97 | ms/batch 19.38 | loss  5.58 | ppl   264.31
| epoch   2 |   750/ 1389 batches | lr 0.97 | ms/batch 19.55 | loss  5.52 | ppl   249.70
| epoch   2 |   760/ 1389 batches | lr 0.98 | ms/batch 19.94 | loss  5.61 | ppl   274.48
| epoch   2 |   770/ 1389 batches | lr 0.98 | ms/batch 19.91 | loss  5.62 | ppl   277.18
| epoch   2 |   780/ 1389 batches | lr 0.99 | ms/batch 19.57 | loss  5.54 | ppl   255.58
| epoch   2 |   790/ 1389 batches | lr 0.99 | ms/batch 19.49 | loss  5.48 | ppl   239.12
| epoch   2 |   800/ 1389 batches | lr 1.00 | ms/batch 19.67 | loss  5.61 | ppl   272.18
| epoch   2 |   810/ 1389 batches | lr 1.00 | ms/batch 20.00 | loss  5.60 | ppl   271.43
| epoch   2 |   820/ 1389 batches | lr 1.00 | ms/batch 19.35 | loss  5.56 | ppl   260.95
| epoch   2 |   830/ 1389 batches | lr 1.01 | ms/batch 19.73 | loss  5.43 | ppl   229.09
| epoch   2 |   840/ 1389 batches | lr 1.01 | ms/batch 20.05 | loss  5.40 | ppl   222.21
| epoch   2 |   850/ 1389 batches | lr 1.02 | ms/batch 19.47 | loss  5.42 | ppl   226.96
| epoch   2 |   860/ 1389 batches | lr 1.02 | ms/batch 20.01 | loss  5.49 | ppl   241.27
| epoch   2 |   870/ 1389 batches | lr 1.03 | ms/batch 20.02 | loss  5.62 | ppl   275.55
| epoch   2 |   880/ 1389 batches | lr 1.03 | ms/batch 19.87 | loss  5.43 | ppl   228.61
| epoch   2 |   890/ 1389 batches | lr 1.04 | ms/batch 20.19 | loss  5.42 | ppl   225.26
| epoch   2 |   900/ 1389 batches | lr 1.04 | ms/batch 20.18 | loss  5.55 | ppl   256.19
| epoch   2 |   910/ 1389 batches | lr 1.05 | ms/batch 19.96 | loss  5.57 | ppl   262.21
| epoch   2 |   920/ 1389 batches | lr 1.05 | ms/batch 20.55 | loss  5.47 | ppl   236.97
| epoch   2 |   930/ 1389 batches | lr 1.05 | ms/batch 19.88 | loss  5.64 | ppl   282.65
| epoch   2 |   940/ 1389 batches | lr 1.06 | ms/batch 20.06 | loss  5.57 | ppl   262.73
| epoch   2 |   950/ 1389 batches | lr 1.06 | ms/batch 19.40 | loss  5.49 | ppl   243.23
| epoch   2 |   960/ 1389 batches | lr 1.07 | ms/batch 19.63 | loss  5.42 | ppl   226.81
| epoch   2 |   970/ 1389 batches | lr 1.07 | ms/batch 19.99 | loss  5.42 | ppl   225.08
| epoch   2 |   980/ 1389 batches | lr 1.08 | ms/batch 19.67 | loss  5.42 | ppl   225.05
| epoch   2 |   990/ 1389 batches | lr 1.08 | ms/batch 19.27 | loss  5.52 | ppl   249.86
| epoch   2 |  1000/ 1389 batches | lr 1.09 | ms/batch 20.12 | loss  5.52 | ppl   249.21
| epoch   2 |  1010/ 1389 batches | lr 1.09 | ms/batch 20.08 | loss  5.47 | ppl   238.08
| epoch   2 |  1020/ 1389 batches | lr 1.10 | ms/batch 20.38 | loss  5.41 | ppl   223.47
| epoch   2 |  1030/ 1389 batches | lr 1.10 | ms/batch 20.09 | loss  5.38 | ppl   217.13
| epoch   2 |  1040/ 1389 batches | lr 1.10 | ms/batch 20.07 | loss  5.37 | ppl   214.97
| epoch   2 |  1050/ 1389 batches | lr 1.11 | ms/batch 20.02 | loss  5.23 | ppl   187.20
| epoch   2 |  1060/ 1389 batches | lr 1.11 | ms/batch 20.03 | loss  5.29 | ppl   198.75
| epoch   2 |  1070/ 1389 batches | lr 1.12 | ms/batch 19.95 | loss  5.40 | ppl   221.51
| epoch   2 |  1080/ 1389 batches | lr 1.12 | ms/batch 19.28 | loss  5.37 | ppl   215.62
| epoch   2 |  1090/ 1389 batches | lr 1.13 | ms/batch 19.91 | loss  5.44 | ppl   231.03
| epoch   2 |  1100/ 1389 batches | lr 1.13 | ms/batch 19.73 | loss  5.41 | ppl   223.98
| epoch   2 |  1110/ 1389 batches | lr 1.14 | ms/batch 19.31 | loss  5.61 | ppl   272.12
| epoch   2 |  1120/ 1389 batches | lr 1.14 | ms/batch 19.63 | loss  5.42 | ppl   225.90
| epoch   2 |  1130/ 1389 batches | lr 1.15 | ms/batch 19.94 | loss  5.49 | ppl   243.00
| epoch   2 |  1140/ 1389 batches | lr 1.15 | ms/batch 20.35 | loss  5.45 | ppl   233.87
| epoch   2 |  1150/ 1389 batches | lr 1.15 | ms/batch 20.19 | loss  5.48 | ppl   239.65
| epoch   2 |  1160/ 1389 batches | lr 1.16 | ms/batch 20.70 | loss  5.30 | ppl   199.77
| epoch   2 |  1170/ 1389 batches | lr 1.16 | ms/batch 20.22 | loss  5.37 | ppl   214.18
